00:00,null
00:05,fünf nach null
00:10,zehn nach null
00:15,fünfzehn nach null
00:20,zwanzig nach null
00:25,fünfundzwanzig nach null
00:30,halb eins
00:35,fünfundzwanzig vor eins
00:40,zwanzig vor eins
00:45,fünfzehn vor eins
00:50,zehn vor eins
00:55,fünf vor eins
01:00,eins
01:05,fünf nach eins
01:10,zehn nach eins
01:15,fünfzehn nach eins
01:20,zwanzig nach eins
01:25,fünfundzwanzig nach eins
01:30,halb zwei
01:35,fünfundzwanzig vor zwei
01:40,zwanzig vor zwei
01:45,fünfzehn vor zwei
01:50,zehn vor zwei
01:55,fünf vor zwei
02:00,zwei
02:05,fünf nach zwei
02:10,zehn nach zwei
02:15,fünfzehn nach zwei
02:20,zwanzig nach zwei
02:25,fünfundzwanzig nach zwei
02:30,halb drei
02:35,fünfundzwanzig vor drei
02:40,zwanzig vor drei
02:45,fünfzehn vor drei
02:50,zehn vor drei
02:55,fünf vor drei
03:00,drei
03:05,fünf nach drei
03:10,zehn nach drei
03:15,fünfzehn nach drei
03:20,zwanzig nach drei
03:25,fünfundzwanzig nach drei
03:30,halb vier
03:35,fünfundzwanzig vor vier
03:40,zwanzig vor vier
03:45,fünfzehn vor vier
03:50,zehn vor vier
03:55,fünf vor vier
04:00,vier
04:05,fünf nach vier
04:10,zehn nach vier
04:15,fünfzehn nach vier
04:20,zwanzig nach vier
04:25,fünfundzwanzig nach vier
04:30,halb fünf
04:35,fünfundzwanzig vor fünf
04:40,zwanzig vor fünf
04:45,fünfzehn vor fünf
04:50,zehn vor fünf
04:55,fünf vor fünf
05:00,fünf
05:05,fünf nach fünf
05:10,zehn nach fünf
05:15,fünfzehn nach fünf
05:20,zwanzig nach fünf
05:25,fünfundzwanzig nach fünf
05:30,halb sechs
05:35,fünfundzwanzig vor sechs
05:40,zwanzig vor sechs
05:45,fünfzehn vor sechs
05:50,zehn vor sechs
05:55,fünf vor sechs
06:00,sechs
06:05,fünf nach sechs
06:10,zehn nach sechs
06:15,fünfzehn nach sechs
06:20,zwanzig nach sechs
06:25,fünfundzwanzig nach sechs
06:30,halb sieben
06:35,fünfundzwanzig vor sieben
06:40,zwanzig vor sieben
06:45,fünfzehn vor sieben
06:50,zehn vor sieben
06:55,fünf vor sieben
07:00,sieben
07:05,fünf nach sieben
07:10,zehn nach sieben
07:15,fünfzehn nach sieben
07:20,zwanzig nach sieben
07:25,fünfundzwanzig nach sieben
07:30,halb acht
07:35,fünfundzwanzig vor acht
07:40,zwanzig vor acht
07:45,fünfzehn vor acht
07:50,zehn vor acht
07:55,fünf vor acht
08:00,acht
08:05,fünf nach acht
08:10,zehn nach acht
08:15,fünfzehn nach acht
08:20,zwanzig nach acht
08:25,fünfundzwanzig nach acht
08:30,halb neun
08:35,fünfundzwanzig vor neun
08:40,zwanzig vor neun
08:45,fünfzehn vor neun
08:50,zehn vor neun
08:55,fünf vor neun
09:00,neun
09:05,fünf nach neun
09:10,zehn nach neun
09:15,fünfzehn nach neun
09:20,zwanzig nach neun
09:25,fünfundzwanzig nach neun
09:30,halb zehn
09:35,fünfundzwanzig vor zehn
09:40,zwanzig vor zehn
09:45,fünfzehn vor zehn
09:50,zehn vor zehn
09:55,fünf vor zehn
10:00,zehn
10:05,fünf nach zehn
10:10,zehn nach zehn
10:15,fünfzehn nach zehn
10:20,zwanzig nach zehn
10:25,fünfundzwanzig nach zehn
10:30,halb elf
10:35,fünfundzwanzig vor elf
10:40,zwanzig vor elf
10:45,fünfzehn vor elf
10:50,zehn vor elf
10:55,fünf vor elf
11:00,elf
11:05,fünf nach elf
11:10,zehn nach elf
11:15,fünfzehn nach elf
11:20,zwanzig nach elf
11:25,fünfundzwanzig nach elf
11:30,halb zwölf
11:35,fünfundzwanzig vor zwölf
11:40,zwanzig vor zwölf
11:45,fünfzehn vor zwölf
11:50,zehn vor zwölf
11:55,fünf vor zwölf
12:00,zwölf
12:05,fünf nach zwölf
12:10,zehn nach zwölf
12:15,fünfzehn nach zwölf
12:20,zwanzig nach zwölf
12:25,fünfundzwanzig nach zwölf
12:30,halb eins
12:35,fünfundzwanzig vor eins
12:40,zwanzig vor eins
12:45,fünfzehn vor eins
12:50,zehn vor eins
12:55,fünf vor eins
13:00,eins
13:05,fünf nach eins
13:10,zehn nach eins
13:15,fünfzehn nach eins
13:20,zwanzig nach eins
13:25,fünfundzwanzig nach eins
13:30,halb zwei
13:35,fünfundzwanzig vor zwei
13:40,zwanzig vor zwei
13:45,fünfzehn vor zwei
13:50,zehn vor zwei
13:55,fünf vor zwei
14:00,zwei
14:05,fünf nach zwei
14:10,zehn nach zwei
14:15,fünfzehn nach zwei
14:20,zwanzig nach zwei
14:25,fünfundzwanzig nach zwei
14:30,halb drei
14:35,fünfundzwanzig vor drei
14:40,zwanzig vor drei
14:45,fünfzehn vor drei
14:50,zehn vor drei
14:55,fünf vor drei
15:00,drei
15:05,fünf nach drei
15:10,zehn nach drei
15:15,fünfzehn nach drei
15:20,zwanzig nach drei
15:25,fünfundzwanzig nach drei
15:30,halb vier
15:35,fünfundzwanzig vor vier
15:40,zwanzig vor vier
15:45,fünfzehn vor vier
15:50,zehn vor vier
15:55,fünf vor vier
16:00,vier
16:05,fünf nach vier
16:10,zehn nach vier
16:15,fünfzehn nach vier
16:20,zwanzig nach vier
16:25,fünfundzwanzig nach vier
16:30,halb fünf
16:35,fünfundzwanzig vor fünf
16:40,zwanzig vor fünf
16:45,fünfzehn vor fünf
16:50,zehn vor fünf
16:55,fünf vor fünf
17:00,fünf
17:05,fünf nach fünf
17:10,zehn nach fünf
17:15,fünfzehn nach fünf
17:20,zwanzig nach fünf
17:25,fünfundzwanzig nach fünf
17:30,halb sechs
17:35,fünfundzwanzig vor sechs
17:40,zwanzig vor sechs
17:45,fünfzehn vor sechs
17:50,zehn vor sechs
17:55,fünf vor sechs
18:00,sechs
18:05,fünf nach sechs
18:10,zehn nach sechs
18:15,fünfzehn nach sechs
18:20,zwanzig nach sechs
18:25,fünfundzwanzig nach sechs
18:30,halb sieben
18:35,fünfundzwanzig vor sieben
18:40,zwanzig vor sieben
18:45,fünfzehn vor sieben
18:50,zehn vor sieben
18:55,fünf vor sieben
19:00,sieben
19:05,fünf nach sieben
19:10,zehn nach sieben
19:15,fünfzehn nach sieben
19:20,zwanzig nach sieben
19:25,fünfundzwanzig nach sieben
19:30,halb acht
19:35,fünfundzwanzig vor acht
19:40,zwanzig vor acht
19:45,fünfzehn vor acht
19:50,zehn vor acht
19:55,fünf vor acht
20:00,acht
20:05,fünf nach acht
20:10,zehn nach acht
20:15,fünfzehn nach acht
20:20,zwanzig nach acht
20:25,fünfundzwanzig nach acht
20:30,halb neun
20:35,fünfundzwanzig vor neun
20:40,zwanzig vor neun
20:45,fünfzehn vor neun
20:50,zehn vor neun
20:55,fünf vor neun
21:00,neun
21:05,fünf nach neun
21:10,zehn nach neun
21:15,fünfzehn nach neun
21:20,zwanzig nach neun
21:25,fünfundzwanzig nach neun
21:30,halb zehn
21:35,fünfundzwanzig vor zehn
21:40,zwanzig vor zehn
21:45,fünfzehn vor zehn
21:50,zehn vor zehn
21:55,fünf vor zehn
22:00,zehn
22:05,fünf nach zehn
22:10,zehn nach zehn
22:15,fünfzehn nach zehn
22:20,zwanzig nach zehn
22:25,fünfundzwanzig nach zehn
22:30,halb elf
22:35,fünfundzwanzig vor elf
22:40,zwanzig vor elf
22:45,fünfzehn vor elf
22:50,zehn vor elf
22:55,fünf vor elf
23:00,elf
23:05,fünf nach elf
23:10,zehn nach elf
23:15,fünfzehn nach elf
23:20,zwanzig nach elf
23:25,fünfundzwanzig nach elf
23:30,halb zwölf
23:35,fünfundzwanzig vor zwölf
23:40,zwanzig vor zwölf
23:45,fünfzehn vor zwölf
23:50,zehn vor zwölf
23:55,fünf vor zwölf
